process child ret  = 0
 CPU     ID                    FUNCTION:NAME
   0  84326             _ti_bind_clear:entry 
   0  81369              rt_bind_clear:entry 
   0  84326             _ti_bind_clear:entry 
   0  83880    set_cancel_pending_flag:entry 
   0  84202               mutex_unlock:entry 
   0  84022                       fork:entry 
   0  84021                      forkx:entry 
   0  84197                 mutex_lock:entry 
   0  84196            mutex_lock_impl:entry 
   0  82143           _prefork_handler:entry 
   0  82861        libc_prepare_atfork:entry 
   0  82546               malloc_locks:entry 
   0  84197                 mutex_lock:entry 
   0  84196            mutex_lock_impl:entry 
   0  84197                 mutex_lock:entry 
   0  84196            mutex_lock_impl:entry 
   0  84097          block_all_signals:entry 
   0  84173             setup_schedctl:entry 
   0  84565                 __schedctl:entry 
   0  84312               suspend_fork:entry 
   0  84203                lmutex_lock:entry 
   0  84204              lmutex_unlock:entry 
   0  84603                    __forkx:entry 
   0  84313              continue_fork:entry 
   0  84203                lmutex_lock:entry 
   0  84204              lmutex_unlock:entry 
   0  83495              __lwp_sigmask:entry 
   0  84624                    syscall:entry 
   0  84202               mutex_unlock:entry 
   0  82144   _postfork_parent_handler:entry 
   0  82863         libc_parent_atfork:entry 
   0  82547             malloc_unlocks:entry 
   0  84202               mutex_unlock:entry 
   0  84202               mutex_unlock:entry 
   0  81296                 elf_rtbndr:entry 
   0  81573                   elf_bndr:entry 
   0  81456                      enter:entry 
   0  81368              rt_bind_guard:entry 
   0  84325             _ti_bind_guard:entry 
   0  84197                 mutex_lock:entry 
   0  84196            mutex_lock_impl:entry 
   0  83880    set_cancel_pending_flag:entry 
   0  81333                 lookup_sym:entry 
   0  81353                   elf_hash:entry 
   0  81332                _lookup_sym:entry 
   0  81330            core_lookup_sym:entry 
   0  81460                   callable:entry 
   0  81354               elf_find_sym:entry 
   0  81755                     strcmp:entry 
   0  81460                   callable:entry 
   0  81354               elf_find_sym:entry 
   0  81755                     strcmp:entry 
   0  81334                   bind_one:entry 
   0  81431            load_completion:entry 
   0  81426                is_dep_init:entry 
   0  81459                      leave:entry 
   0  81415                   rd_event:entry 
   0  81369              rt_bind_clear:entry 
   0  84326             _ti_bind_clear:entry 
   0  81369              rt_bind_clear:entry 
   0  84326             _ti_bind_clear:entry 
   0  83880    set_cancel_pending_flag:entry 
   0  84202               mutex_unlock:entry 
   0  84038                      sleep:entry 
   0  84036                  nanosleep:entry 
   0  84428                __nanosleep:entry 
process parent ret  = 7890
   0  81296                 elf_rtbndr:entry 
   0  81573                   elf_bndr:entry 
   0  81456                      enter:entry 
   0  81368              rt_bind_guard:entry 
   0  84325             _ti_bind_guard:entry 
   0  84197                 mutex_lock:entry 
   0  84196            mutex_lock_impl:entry 
   0  83880    set_cancel_pending_flag:entry 
   0  81333                 lookup_sym:entry 
   0  81353                   elf_hash:entry 
   0  81332                _lookup_sym:entry 
   0  81330            core_lookup_sym:entry 
   0  81460                   callable:entry 
   0  81354               elf_find_sym:entry 
   0  81755                     strcmp:entry 
   0  81460                   callable:entry 
   0  81354               elf_find_sym:entry 
   0  81755                     strcmp:entry 
   0  81334                   bind_one:entry 
   0  81431            load_completion:entry 
   0  81426                is_dep_init:entry 
   0  81459                      leave:entry 
   0  81415                   rd_event:entry 
   0  81369              rt_bind_clear:entry 
   0  84326             _ti_bind_clear:entry 
   0  81369              rt_bind_clear:entry 
   0  84326             _ti_bind_clear:entry 
   0  83880    set_cancel_pending_flag:entry 
   0  84202               mutex_unlock:entry 
   0  83207                     printf:entry 
   0  83363            _setorientation:entry 
   0  83200                   _ndoprnt:entry 
   0  83283                   _findbuf:entry 
   0  82488                     isatty:entry 
   0  82251                   ___errno:entry 
   0  84499                      ioctl:entry 
   0  81815                   __cerror:entry 
   0  82251                   ___errno:entry 
   0  82251                   ___errno:entry 
   0  83650                    fstat64:entry 
   0  83647                  fstatat64:entry 
   0  84625               __systemcall:entry 
   0  82549                     malloc:entry 
   0  84197                 mutex_lock:entry 
   0  84196            mutex_lock_impl:entry 
   0  82550           _malloc_unlocked:entry 
   0  82558                  cleanfree:entry 
   0  82553                  _morecore:entry 
   0  83554                       sbrk:entry 
   0  84203                lmutex_lock:entry 
   0  83555             _sbrk_unlocked:entry 
   0  84467              _brk_unlocked:entry 
   0  84467              _brk_unlocked:entry 
   0  84204              lmutex_unlock:entry 
   0  83554                       sbrk:entry 
   0  84203                lmutex_lock:entry 
   0  83555             _sbrk_unlocked:entry 
   0  84467              _brk_unlocked:entry 
   0  84204              lmutex_unlock:entry 
   0  82552                   realfree:entry 
   0  84202               mutex_unlock:entry 
   0  83317                 _setbufend:entry 
   0  83316                   getxfdat:entry 
   0  83315                 isseekable:entry 
   0  82251                   ___errno:entry 
   0  83650                    fstat64:entry 
   0  83647                  fstatat64:entry 
   0  84625               __systemcall:entry 
   0  82251                   ___errno:entry 
   0  83318                _realbufend:entry 
   0  83316                   getxfdat:entry 
   0  83318                _realbufend:entry 
   0  83316                   getxfdat:entry 
   0  81990                     memcpy:entry 
   0  81999                     strlen:entry 
   0  81990                     memcpy:entry 
   0  81990                     memcpy:entry 
   0  83301                     ferror:entry 
   0  83301                     ferror:entry 
   0  81296                 elf_rtbndr:entry 
   0  81573                   elf_bndr:entry 
   0  81456                      enter:entry 
   0  81368              rt_bind_guard:entry 
   0  84325             _ti_bind_guard:entry 
   0  84197                 mutex_lock:entry 
   0  84196            mutex_lock_impl:entry 
   0  83880    set_cancel_pending_flag:entry 
   0  81333                 lookup_sym:entry 
   0  81353                   elf_hash:entry 
   0  81332                _lookup_sym:entry 
   0  81330            core_lookup_sym:entry 
   0  81460                   callable:entry 
   0  81354               elf_find_sym:entry 
   0  81755                     strcmp:entry 
   0  81460                   callable:entry 
   0  81354               elf_find_sym:entry 
   0  81755                     strcmp:entry 
   0  81334                   bind_one:entry 
   0  81431            load_completion:entry 
   0  81426                is_dep_init:entry 
   0  81459                      leave:entry 
   0  81415                   rd_event:entry 
   0  81369              rt_bind_clear:entry 
   0  84326             _ti_bind_clear:entry 
   0  81369              rt_bind_clear:entry 
   0  84326             _ti_bind_clear:entry 
   0  83880    set_cancel_pending_flag:entry 
   0  84202               mutex_unlock:entry 
   0  81971                       exit:entry 
   0  82135                _exithandle:entry 
   0  83872     pthread_setcancelstate:entry 
   0  84203                lmutex_lock:entry 
   0  83880    set_cancel_pending_flag:entry 
   0  84204              lmutex_unlock:entry 
   0  84197                 mutex_lock:entry 
   0  84196            mutex_lock_impl:entry 
   0  81949                     _getfp:entry 
   0  83854                      lfree:entry 
   0  83852               getbucketnum:entry 
   0  81991                     memset:entry 
   0  84203                lmutex_lock:entry 
   0  84204              lmutex_unlock:entry 
   0  81430                atexit_fini:entry 
   0  81456                      enter:entry 
   0  81368              rt_bind_guard:entry 
   0  84325             _ti_bind_guard:entry 
   0  84197                 mutex_lock:entry 
   0  84196            mutex_lock_impl:entry 
   0  83880    set_cancel_pending_flag:entry 
   0  81524             tsort_unsigned:entry 
   0  81523                      tsort:entry 
   0  81394                     calloc:entry 
   0  81393                    _calloc:entry 
   0  81391                     malloc:entry 
   0  81390                    _malloc:entry 
   0  81389                      split:entry 
   0  81785                     memset:entry 
   0  81522                 initorfini:entry 
   0  81517                  dep_visit:entry 
   0  81516                 _dep_visit:entry 
   0  81517                  dep_visit:entry 
   0  81516                 _dep_visit:entry 
   0  81516                 _dep_visit:entry 
   0  81515                      visit:entry 
   0  81515                      visit:entry 
   0  81522                 initorfini:entry 
   0  81429                  call_fini:entry 
   0  81427                 call_array:entry 
   0  81427                 call_array:entry 
   0  81459                      leave:entry 
   0  81415                   rd_event:entry 
   0  81369              rt_bind_clear:entry 
   0  84326             _ti_bind_clear:entry 
   0  81369              rt_bind_clear:entry 
   0  84326             _ti_bind_clear:entry 
   0  83880    set_cancel_pending_flag:entry 
   0  84202               mutex_unlock:entry 
   0  84299                  libc_fini:entry 
   0  81456                      enter:entry 
   0  81368              rt_bind_guard:entry 
   0  84325             _ti_bind_guard:entry 
   0  84197                 mutex_lock:entry 
   0  84196            mutex_lock_impl:entry 
   0  83880    set_cancel_pending_flag:entry 
   0  81600             audit_objclose:entry 
   0  81374                rt_critical:entry 
   0  84327               _ti_critical:entry 
   0  81399                       free:entry 
   0  81272                aplist_test:entry 
   0  81267              aplist_append:entry 
   0  80901              aplist_insert:entry 
   0  81458                     unused:entry 
   0  81459                      leave:entry 
   0  81415                   rd_event:entry 
   0  81388                     defrag:entry 
   0  81270              aplist_delete:entry 
   0  81369              rt_bind_clear:entry 
   0  84326             _ti_bind_clear:entry 
   0  81369              rt_bind_clear:entry 
   0  84326             _ti_bind_clear:entry 
   0  83880    set_cancel_pending_flag:entry 
   0  84202               mutex_unlock:entry 
   0  83854                      lfree:entry 
   0  83852               getbucketnum:entry 
   0  81991                     memset:entry 
   0  84203                lmutex_lock:entry 
   0  84204              lmutex_unlock:entry 
   0  83310                   _cleanup:entry 
   0  83322                     fflush:entry 
   0  83323             _fflush_l_iops:entry 
   0  83324                  _fflush_u:entry 
   0  83321                   _xflsbuf:entry 
   0  83318                _realbufend:entry 
   0  83316                   getxfdat:entry 
   0  84029                      write:entry 
   0  84583                    __write:entry 
   0  83854                      lfree:entry 
   0  83852               getbucketnum:entry 
   0  81991                     memset:entry 
   0  84203                lmutex_lock:entry 
   0  84204              lmutex_unlock:entry 
   0  84202               mutex_unlock:entry 
   0  83872     pthread_setcancelstate:entry 
   0  84203                lmutex_lock:entry 
   0  83880    set_cancel_pending_flag:entry 
   0  84204              lmutex_unlock:entry 



  forksys                                                     
  fstatat64                                                   
  ioctl                                                       
  lwp_sigmask                                                 
  nanosleep                                                   
  rexit                                                       
  schedctl                                                    
  write                                                       


  __forkx                                                  
  __lwp_sigmask                                            
  __nanosleep                                              
  __schedctl                                               
  __systemcall                                             
  __write                                                  
  _calloc                                                  
  _cleanup                                                 
  _exithandle                                              
  _fflush_l_iops                                           
  _fflush_u                                                
  _findbuf                                                 
  _getfp                                                   
  _malloc                                                  
  _ndoprnt                                                 
  _postfork_parent_handler                                 
  _prefork_handler                                         
  _setbufend                                               
  _setorientation                                          
  _ti_critical                                             
  _xflsbuf                                                 
  aplist_append                                            
  aplist_delete                                            
  aplist_insert                                            
  aplist_test                                              
  atexit_fini                                              
  audit_objclose                                           
  block_all_signals                                        
  call_fini                                                
  calloc                                                   
  continue_fork                                            
  defrag                                                   
  exit                                                     
  fflush                                                   
  fork                                                     
  forkx                                                    
  free                                                     
  fstat64                                                  
  fstatat64                                                
  ioctl                                                    
  isatty                                                   
  isseekable                                               
  libc_fini                                                
  libc_parent_atfork                                       
  libc_prepare_atfork                                      
  malloc                                                   
  malloc_locks                                             
  malloc_unlocks                                           
