./mqtest
I am in sender
0 ?--->
1 ?--->
2 ?--->
3 ?--->
4 ?--->
5 ?--->
6 ?--->
7 ?--->
8 ?--->
9 ?--->
10 ?--->
11 ?--->
12 ?--->
13 ?--->
14 ?--->
I am in receiver
---> 0
---> 1
---> 2
---> 3
---> 4
---> 5
---> 6
---> 7
---> 8
---> 9
---> 10
---> 11
---> 12
---> 13
---> 14
 CPU     ID                    FUNCTION:NAME
   2  87945            mutex_lock_impl:entry 
   2  87951               mutex_unlock:entry 
   2  84784                 elf_rtbndr:entry 
   2  85322                   elf_bndr:entry 
   2  85205                      enter:entry 
   2  85117              rt_bind_guard:entry 
   2  88074             _ti_bind_guard:entry 
   2  87946                 mutex_lock:entry 
   2  87945            mutex_lock_impl:entry 
   2  87629    set_cancel_pending_flag:entry 
   2  85082                 lookup_sym:entry 
   2  85102                   elf_hash:entry 
   2  85081                _lookup_sym:entry 
   2  85079            core_lookup_sym:entry 
   2  85209                   callable:entry 
   2  85103               elf_find_sym:entry 
   2  85504                     strcmp:entry 
   2  85209                   callable:entry 
   2  85103               elf_find_sym:entry 
   2  85209                   callable:entry 
   2  85103               elf_find_sym:entry 
   2  85504                     strcmp:entry 
   2  85504                     strcmp:entry 
   2  85083                   bind_one:entry 
   2  85180            load_completion:entry 
   2  85175                is_dep_init:entry 
   2  85208                      leave:entry 
   2  85164                   rd_event:entry 
   2  85118              rt_bind_clear:entry 
   2  88075             _ti_bind_clear:entry 
   2  85118              rt_bind_clear:entry 
   2  88075             _ti_bind_clear:entry 
   2  87629    set_cancel_pending_flag:entry 
   2  87951               mutex_unlock:entry 
   2  85603                   _fpstart:entry 
   2  88375                     sysi86:entry 
   2  84725                      __fsr:entry 
   2  84732                       main:entry 
   2  84784                 elf_rtbndr:entry 
   2  85322                   elf_bndr:entry 
   2  85205                      enter:entry 
   2  85117              rt_bind_guard:entry 
   2  88074             _ti_bind_guard:entry 
   2  87946                 mutex_lock:entry 
   2  87945            mutex_lock_impl:entry 
   2  87629    set_cancel_pending_flag:entry 
   2  85082                 lookup_sym:entry 
   2  85102                   elf_hash:entry 
   2  85081                _lookup_sym:entry 
   2  85079            core_lookup_sym:entry 
   2  85209                   callable:entry 
   2  85103               elf_find_sym:entry 
   2  85504                     strcmp:entry 
   2  85209                   callable:entry 
   2  85103               elf_find_sym:entry 
   2  85504                     strcmp:entry 
   2  85101          elf_lookup_filtee:entry 
   2  85100         _elf_lookup_filtee:entry 
   2  85157               expand_paths:entry 
   2  85479                    strncpy:entry 
   2  85174              stravl_insert:entry 
   2  85479                    strncpy:entry 
   2  84763               sgs_str_hash:entry 
   2  84737                   avl_find:entry 
   2  85166              pnavl_compare:entry 
   2  85166              pnavl_compare:entry 
   2  85166              pnavl_compare:entry 
   2  85166              pnavl_compare:entry 
   2  85504                     strcmp:entry 
   2  84754               alist_append:entry 
   2  84751               alist_insert:entry 
   2  85140                     malloc:entry 
   2  85139                    _malloc:entry 
   2  85138                      split:entry 
   2  85534                     memset:entry 
   2  85504                     strcmp:entry 
   2  85072                 load_trace:entry 
   2  85184                create_cntl:entry 
   2  84754               alist_append:entry 
   2  84751               alist_insert:entry 
   2  85534                     memset:entry 
   2  85074                  load_path:entry 
   2  85071                    load_so:entry 
   2  85154               get_next_dir:entry 
   2  85153               get_dir_list:entry 
   2  85153               get_dir_list:entry 
   2  85153               get_dir_list:entry 
   2  85153               get_dir_list:entry 
   2  85088           elf_get_def_dirs:entry 
   2  85066                  find_file:entry 
   2  85519                     strlen:entry 
   2  85106                 elf_get_so:entry 
   2  85479                    strncpy:entry 
   2  85479                    strncpy:entry 
   2  85065                 _find_file:entry 
   2  84802                  file_open:entry 
   2  84763               sgs_str_hash:entry 
   2  85174              stravl_insert:entry 
   2  85519                     strlen:entry 
   2  84737                   avl_find:entry 
   2  85166              pnavl_compare:entry 
   2  85166              pnavl_compare:entry 
   2  85504                     strcmp:entry 
   2  85169             fpavl_recorded:entry 
   2  84737                   avl_find:entry 
   2  85166              pnavl_compare:entry 
   2  85166              pnavl_compare:entry 
   2  85504                     strcmp:entry 
   2  85073                load_finish:entry 
   2  84798                update_mode:entry 
   2  85222                 hdl_create:entry 
   2  85140                     malloc:entry 
   2  85139                    _malloc:entry 
   2  85138                      split:entry 
   2  84755              aplist_append:entry 
   2  84753              aplist_insert:entry 
   2  85140                     malloc:entry 
   2  85139                    _malloc:entry 
   2  85138                      split:entry 
   2  84755              aplist_append:entry 
   2  84753              aplist_insert:entry 
   2  85140                     malloc:entry 
   2  85139                    _malloc:entry 
   2  85138                      split:entry 
   2  85221                    hdl_add:entry 
   2  84755              aplist_append:entry 
   2  84753              aplist_insert:entry 
   2  84754               alist_append:entry 
   2  84751               alist_insert:entry 
   2  85140                     malloc:entry 
   2  85139                    _malloc:entry 
   2  85138                      split:entry 
   2  85515                     memcpy:entry 
   2  85221                    hdl_add:entry 
   2  84755              aplist_append:entry 
   2  84753              aplist_insert:entry 
   2  85140                     malloc:entry 
